"ID";"StudentID";"Task1";"Task2";"Task3";"Task4"
"1";"1";"pass";"pass";"pass";"pass"
"2";"2";"pass";"pass";"pass";"NULL"
"3";"3";"pass";"pass";"pass";"pass"
"4";"4";"pass";"pass";"not passet";"NULL"
"5";"5";"pass";"pass";"not passet";"NULL"
"6";"6";"pass";"pass";"not passet";"NULL"
"7";"7";"pass";"not passet";"not passet";"NULL"
"8";"8";"pass";"pass";"pass";"pass"
"9";"9";"pass";"not passet";"not passet";"NULL"
"10";"10";"pass";"pass";"pass";"pass"
"11";"11";"pass";"pass";"pass";"pass"
"12";"12";"pass";"pass";"pass";"pass"
"13";"13";"pass";"not passet";"not passet";"NULL"
"14";"14";"pass";"pass";"pass";"pass"
"15";"15";"pass";"not passet";"not passet";"NULL"
"16";"16";"pass";"pass";"pass";"NULL"
"17";"17";"pass";"pass";"pass";"pass"
"18";"18";"pass";"pass";"pass";"pass"
